AS38494,BBGISA-AS-ID-AP PT. Bakrie  Brothers, Tbk,0.00,0.00,15,
AS38496,CNI-AS-ID PT Cyber Network Indonesia,0.00,0.00,1813,
AS38498,BIZNET-BII-AS-ID 203.31.164.023,,,41,
AS38498,BIZNET-BII-AS-ID 203.31.164.023,0.00,0.00,41,
AS38500,CROSSNET-AS-ID PT. Cross Network Indonesia,0.00,0.00,1167,
AS38501,WAVENET-AS-ID PT Solusi Lintas Data,,,25,
AS38501,WAVENET-AS-ID PT Solusi Lintas Data,0.00,0.00,25,
AS38502,MDPNET-AS-ID PT. MULTI DATA PALEMBANG,0.00,0.00,629,
AS38504,ALUCIONET-AS-ID PT ALUCIO NET,,,13,
AS38504,ALUCIONET-AS-ID PT ALUCIO NET,0.00,0.00,13,
AS38505,GMNUSANTARA-AS-ID PT Graha Multimedia Nusantara,0.00,0.00,826,
AS38506,PIKANET-AS-ID PT Pika Media Komunika,0.01,0.01,16676,
AS38507,MITRATECHNET-AS-ID PT. Mitra Internet Tech,,,48,
AS38507,MITRATECHNET-AS-ID PT. Mitra Internet Tech,0.00,0.00,48,
AS38509,MAXIMA-AS-ID PT. Maxima Data,0.00,0.00,156,
AS38510,DEPTAN-AS-ID KEMENTERIAN PERTANIAN REPUBLIK INDONESIA,0.00,0.00,535,
AS38511,TACHYON-AS-ID PT Remala Abadi,0.05,0.00,43743,
AS38515,GRAHAMEDIA-NET-AS-ID GRAHAMEDIA INFORMASI, PT.,0.00,0.00,1394,
AS38516,INFOKOMNAP-AS-ID Infokom Elektrindo, PT.,0.00,0.00,60,
AS38517,MAXMEDIA-AS-ID PT.Bangsawan Cyberindo,0.00,0.00,110,
AS38521,PISHON-AS-ID Pishon Wireless Teknologi, PT,,,15,
AS38521,PISHON-AS-ID Pishon Wireless Teknologi, PT,0.00,0.00,15,
AS38522,TELINDONET-ID-AS Telindo Nusantara, PT,0.00,0.00,73,
AS38523,IDNIC-ID Indonesia Network Information Center,,,4,
AS38523,IDNIC-ID Indonesia Network Information Center,0.00,0.00,4,
AS38524,LAXONET-AS-ID Laxo Global Akses, PT,0.00,0.00,671,
AS38525,NETSOFT-AS-ID Netsoft, PT,0.00,0.00,545,
AS38527,MLINK-AS-ID JAWA POS NATIONAL NETWORK MEDIALINK, PT,0.00,0.00,562,
AS38535,M2AKSES-AS-AP P.T. Mega Media Aksesindo,,,3,
AS38535,M2AKSES-AS-AP P.T. Mega Media Aksesindo,0.00,0.00,3,
AS38567,REKIND-AS-ID-AP PT. Rekayasa Industri,,,25,
AS38567,REKIND-AS-ID-AP PT. Rekayasa Industri,0.00,0.00,25,
AS38750,TDS-AS-ID Telemedia Dinamika Sarana, PT,0.00,0.00,5038,
AS38753,SOLUSINDO-AS-ID Solusindo Bintang Pratama, PT,0.00,0.00,1695,
AS38754,PRIMENET-AS-ID PRIMEDIA ARMOEKADATA INTERNET, PT.,0.00,0.00,217,
AS38755,BPS-AS-ID Biro Statistics,0.00,0.00,422,
AS38756,BKU-AS-ID PT Bintang Komunikasi Utama,,,20,
AS38756,BKU-AS-ID PT Bintang Komunikasi Utama,0.00,0.00,20,
AS38758,HYPERNET-AS-ID PT. HIPERNET INDODATA,0.01,0.00,6754,
AS38761,SPM-AS-ID PT. Sakti Putra Mandiri,0.00,0.00,289,
AS38763,CYBERBINTAN-AS-ID PT. Cyber Bintan,0.00,0.00,172,
AS38764,POLRI-AS-ID MARKAS BESAR KEPOLISIAN REPUBLIK INDONESIA,0.00,0.00,77,
AS38765,ESDM-AS-ID Departemen Energi dan Sumber Daya Mineral,0.00,0.00,1498,
AS38766,BMP-AS-ID PT. Bumi Merbabu Permai,0.00,0.00,741,
AS38767,IDNIC-AMSCLOUD-AS-ID PT Awan Media Semesta,,,1,
AS38767,IDNIC-AMSCLOUD-AS-ID PT Awan Media Semesta,0.00,0.00,1,
AS38769,BITEK-AS-ID PT. Bit Technology Nusantara,0.00,0.00,662,
AS38771,CYBERPLUS-AS-ID PT Cyberplus Media Pratama,0.00,0.00,375,
AS38772,SMARTLINKNET-AS-ID PT. Smartlink Global Media.,0.00,0.00,181,
AS38773,CIPUTRA-AS-ID CiputraNet,0.05,0.05,2127,
AS38775,IDSIRTII-AS-ID Indonesia SIRT,,,16,
AS38775,IDSIRTII-AS-ID Indonesia SIRT,0.00,0.00,16,
AS38776,GREENLINKS-AS-ID PT. Bandung Sinergi Akses Teknologi,0.00,0.00,378,
AS38778,DWPNET-AS-ID PT. Dutakom Wibawa Putra,0.00,0.00,2913,
AS38779,BMG-AS-ID Badan Meteorologi dan Geofisika,0.00,0.00,128,
AS38781,MASNET-AS-ID PT. Mitra Abdi Solusi,0.00,0.00,504,
